HydroCode,OBJECTID,BoreID,RefElev,RefElevDesc,FromDepth,ToDepth,TopElev,BottomElev,MajorLithCode,MinorLithCode,Description,Source,LogType,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Latitude,longitude
GW036473.1.1,306665,10053186,249.8,NGS,66.0,79.0,183.8,170.8,SAND,,Sand coarse gravel,NSW Hydstra,1,,,,,,,,,-30.8018,150.14
GW036156.2.1,294922,10052451,170.4,NGS,45.75,48.8,124.65,121.6,CLAY,,"Clay; light brown, silty",I Krumins - WC&IC,2,,,,,,,,,-30.2484,149.096
GW030154.1.1,245620,10045741,316.5,NGS,36.6,38.13,279.9,278.37,GRVL,,"Gravel - 30% 2-8mm, 20% 8-20mm, angular and subrounded, sand 40% fine to 2mm, clay 10% dark brown, some white.",I Krumins - WC&IC,2,,,,,,,,,-31.5083,150.423
GW968589.1.1,824564,10150204,311.43,NGS,28.0,31.0,283.43,280.43,GRVL,,"Gravel/sand/silt, content, rusty brown",NSW Hydstra,1,,,,,,,,,-31.42,150.351
GW068970.1.1,468081,10082946,424.56,NGS,27.0,28.0,397.56,396.56,UNKN,,Gravel (water),NSW Hydstra,1,,,,,,,,,-31.7093,150.697
GW032251.1.1,271514,10048343,242.85,NGS,0.0,12.19,242.85,230.66,ALVM,,Alluvium water supply,NSW Hydstra,1,,,,,,,,,-30.6543,150.072
GW000060.1.1,774,10015409,249.52,NGS,247.49,290.16,2.03,-40.64,SHLE,,Shale grey sandstone hard bands,NSW Hydstra,1,,,,,,,,,-30.5073,149.517
GW056883.1.1,417625,10072074,619.37,NGS,48.8,60.9,570.57,558.47,SHLE,,Shale,NSW Hydstra,1,,,,,,,,,-31.4187,150.885
GW020086.1.1,163792,10035342,343.65,NGS,0.0,0.91,343.65,342.74,SOIL,,Soil,NSW Hydstra,1,,,,,,,,,-30.9315,150.823
GW968340.1.1,822713,10149955,280.34,NGS,31.0,40.5,249.34,239.84,CLAY,,"Clay, orange",NSW Hydstra,1,,,,,,,,,-30.9981,150.377
GW068373.1.1,465014,10082448,354.96,NGS,26.0,30.0,328.96,324.96,SAND,,Brown and orange sand fine to coarse clean,NSW Hydstra,1,,,,,,,,,-31.3761,149.868
GW014985.1.1,135570,10030270,294.0,NGS,60.66,76.2,233.34,217.8,SDSN,,Sandstone,NSW Hydstra,1,,,,,,,,,-31.2704,150.164
GW059064.1.1,428537,10074251,256.33,NGS,30.5,38.1,225.83,218.23,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-30.8512,150.201
GW901923.1.1,798388,10145655,258.32,NGS,15.0,16.0,243.32,242.32,UNKN,,Fine sand & some gravel with layer of clay in mobile,NSW Hydstra,1,,,,,,,,,-30.9215,150.174
GW030101.4.1,243456,10045636,201.4,NGS,122.0,123.53,79.4,77.87,CLAY,,"Clay; dark grey, carbonaceous, & mediumg ravel 20%",D Roberts - WC&IC,2,,,,,,,,,-30.2195,149.625
GW000334.1.1,3290,10015683,321.17,NGS,91.44,94.49,229.73,226.68,SDSN,,Sand rock unknown,NSW Hydstra,1,,,,,,,,,-30.9432,150.032
GW969409.1.1,829695,10151024,592.79,NGS,0.6,2.1,592.19,590.69,CLAY,,Clay,NSW Hydstra,1,,,,,,,,,-31.4132,151.091
GW030303.1.1,251067,10046079,273.6,NGS,79.3,82.35,194.3,191.25,GRVL,,"Gravel; 80% (fine 30%, medium 30% & coarse 20%), as above (minus weathered rock fragments).  clay 20%, as above.",L Drury - WC&IC,2,,,,,,,,,-30.9968,150.394
GW063074.1.1,450308,10077960,298.29,NGS,6.0,8.0,292.29,290.29,SILT,,Silt clayey,NSW Hydstra,1,,,,,,,,,-31.3276,150.437
GW966883.1.1,812757,10148459,636.97,NGS,21.5,25.8,615.47,611.17,GRNT,,Granite,NSW Hydstra,1,,,,,,,,,-31.0205,151.018
