Exemplar,Matches
Granite decomposed,Granite decomposed
Granite rock,Granite rock
Granite soft,Granite soft
Granite weathered,Granite weathered
Gravel cemented water bearing,Gravel cemented water bearing
Gravel conglomerate water supply,Gravel conglomerate water supply
Gravel dirty water supply,Gravel dirty water supply
Gravel large water supply,Gravel large water supply
Gravel nominal water supply,Gravel nominal water supply
Gravel river water supply,Gravel river water supply
Gravel sand fine water supply,Gravel sand fine water supply
Gravel sandy water supply,Gravel sandy water supply
Gravel water bearing sand fine,Gravel water bearing sand fine
"Gravel; ligth brown, fine to medium, some fine to medium sand","Coal/claystone | Formation very hard sedimentary | Gravel (water) | Gravel; ligth brown, fine to medium, some fine to medium sand | Sand gravel water bearing | Sand grey gravel water bearing | Sand very clayey medium-coarse | Topfill"
Weathered stone,Weathered stone
Limestone,Limestone
Limestone decomposed,Limestone decomposed
"Mudstone - very soft weathered to clay, light grey","Basalt broken | Basalt grey hard | Basalt hard | Basalt soft | Basalt w.b | Blue basalt | Brown shale | Grey basalt | Mudstone - very soft weathered to clay, light grey | Shale black sandy | Shale grey | Shale grey sandy | Shale grey some hard | Shale sandy light | Shale white grey | Shale yellow | Tuff fine | Yellow shale"
Rock white quartzite,Rock white quartzite
Blue & white sand (f-vc),Blue & white sand (f-vc)
Brown and orange sand fine to coarse clean,Brown and orange sand fine to coarse clean
Brown sand,Brown sand | Sand clayey fine
Brown sand (well graded),"Brown sand (well graded) | Sand - .5-2mm, light brown | Sand clayey fine-medium"
Coarse sand (wb),Coarse sand (wb)
Sand,Sand | Sand coarse gravel
Sand - 1-2.5mm light brown,Sand - 1-2.5mm light brown
Sand - fine yellow/brown,Fine sand | Sand - fine yellow/brown
"Sand - light reddish brown, slightly clayey, fine to coarse mostly coarse, angular to subrounded, chert, jasper, feldspars and volcanic rock fragments.","Sand - light reddish brown, slightly clayey, fine to coarse mostly coarse, angular to subrounded, chert, jasper, feldspars and volcanic rock fragments."
Sand black sticky,Sand black sticky
Sand brown,Sand brown
Sand claybound water supply,Sand claybound water supply
Sand clean coarse water supply,Sand clean coarse water supply
Sand coarse,Sand coarse
Sand coarse gravel water supply,Sand coarse gravel water supply
Sand coarse water supply,Sand coarse water supply
Sand dry,Sand dry
Sand fine,Sand fine
Sand fine gravel water supply,Sand fine gravel water supply
Sand fine water supply,Sand fine water supply
Sand fine-coarse,Sand fine-coarse
Sand fine-medium,Grey very clayey silty sand | Sand fine-medium
Sand granitic water supply,Sand granitic water supply
Sand gravel water supply,Sand gravel water supply
Sand grey fine,Sand grey fine
Sand grey water supply,Sand grey water supply
Sand large gravel water bearing,Sand large gravel water bearing
Sand nominal,Sand nominal
Sand slightly clayey fine,Sand slightly clayey fine
Sand small gravel water bearing,Sand small gravel water bearing
Sand small gravel water supply,Sand small gravel water supply
Sand soak,Sand soak
Sand tight gravel water supply,Sand tight gravel water supply
Sand water bearing,Sand water bearing
Sand water supply,Sand water supply
Sand well sorted,Sand well sorted
Sand white very fine fine-medium,Sand white very fine fine-medium
Sand yellow fine silt,Sand yellow fine silt
"Sand, brown, very fine","Sand, brown, very fine"
"Sand, coarse","Sand, coarse"
"Sand; 80% (0.5-1.5mm, 20% 1.5-3mm), trace of light grey-brown clay","Sand; 80% (0.5-1.5mm, 20% 1.5-3mm), trace of light grey-brown clay"
"Sand; brown, silty & fine to coarse gravel 20%","Sand; brown, silty & fine to coarse gravel 20%"
"Sand; light brown, fine & medium, some coarse sand","Sand; light brown, fine & medium, some coarse sand"
"Sand; light brown, medium to coarse, some fine gravel & fine sand","Sand; light brown, medium to coarse, some fine gravel & fine sand"
"Sand; light brown, very silty, fine to coarse","Sand; light brown, very silty, fine to coarse"
"Sand; yellow-brown, very coarse & fine gravel; subrounded quartz, feldspar (10%) & rock chip-s (5%)","Sand clayey | Sand; yellow-brown, very coarse & fine gravel; subrounded quartz, feldspar (10%) & rock chip-s (5%)"
Well graded sand,"Sand; (clean), light brown, fine & medium | Topsoil, organic, black, soft | Well graded sand"
White sand fine and small gravel clean,White sand fine and small gravel clean
Sand rock unknown,Sand rock unknown
