Unique Extracted Classes

gravel sand andesite clay
sand rock gravel basalt clay
sand gravel jasper porphyry quartz rhyolite clay
boulders stones clay
sand gravel mica jasper porphyry silty basalt quartz sandstone clay
mudstone conglomerate siltstone
sand gravel jasper chert quartz sandstone
sand silt gravel silty pebbles
mica sandstone quartz
mud basalt rock
sand rock silt gravel jasper siltstone clay
sand feldspar gravel mica jasper silty basalt quartz clay
gravel jasper chert quartz pebbles
sand gravel zeolite jasper cement conglomerate
water lava carbonaceous
sand rock gravel jasper chert basalt clay
feldspar gravel jasper porphyry basalt quartz rhyolite chert
sand rock gravel jasper silty volcanic siltstone quartz
cement clay
sand coal
sand rock gravel mica jasper silty siltstone clay
water quartz
coal carbonaceous claystone
gravel water coal
feldspar gravel jasper porphyry silty siltstone basalt quartz chert
sand rock gravel jasper silty quartz clay
water boulders clay
sand feldspar gravel jasper porphyry silty siltstone basalt quartz clay
water sand silt
boulders ironstone
sand quartz chert clay
sand limestone rock clay
sand cement volcanic quartz clay
sand gravel rhyolite stones clay
shale rock
sand feldspar gravel jasper porphyry silty siltstone basalt quartz
sand water sandstone granite
rock jasper chert quartz sandstone
water boulders
sand claystone
sand gravel mica jasper porphyry silty quartz siltstone chert basalt clay
gravel chert basalt clay
silty sandstone
sand feldspar jasper porphyry silty chert quartz quartzite
sand water wood clay
gravel ironstone clay
sand rock gravel jasper porphyry basalt quartz sandstone clay
sedimentary sandstone
shale stones clay
sand quartz jasper clay
gravel jasper porphyry basalt quartz carbonaceous
sandstone dolerite
sand chert clay
sand rock mica mudstone carbonaceous clay
mica cement clay sandstone carbonaceous quartzite
sand feldspar gravel jasper porphyry silty quartz
sand gravel jasper porphyry silty quartz
silty sandstone carbonaceous
rock feldspar gravel jasper porphyry siltstone quartz clay
silty sand quartz sandstone
sand rock gravel porphyry quartz chert basalt clay
gravel jasper sand boulders clay quartz quartzite
shale coal sandstone
silty sand jasper clay
water agglomerate sandstone
sand igneous gravel jasper porphyry granite quartzite
sand gravel porphyry chert clay
gravel jasper porphyry silty chert quartz clay
silty rhyolite clay
coal sandstone
sand jasper clay chert
basalt limestone boulders clay
gravel rock clay claystone
gravel sand rock cement
rock laterite
water sand stones gravel
sand clay boulders siltstone basalt pebbles quartzite
mud sand gravel mica jasper porphyry wood chert sandstone carbonaceous clay
sand loam soil silt
gravel jasper silty chert basalt clay
gravel rock clay
sand feldspar gravel porphyry volcanic basalt quartz clay
water sandstone siltstone
sand ironstone
feldspar gravel jasper clay porphyry chert quartz basalt quartzite
sand rock clay slate
sand silt gravel jasper cement silty clay
sand rock quartzite gravel jasper basalt clay
sand gravel jasper silty quartz
sand gravel mica jasper porphyry silty siltstone chert quartz clay
gravel pebbles silty clay
sand feldspar gravel jasper silty siltstone basalt quartz clay
sedimentary gravel jasper basalt quartz
lignite silty clay
gravel sand silty jasper
soil carbonaceous
granite stones clay
sand feldspar gravel jasper porphyry quartz
soil granite
gravel sand silty stones
silty sand silt
sand clay
mud shale rock clay
shale sandstone clay
basalt shale
gravel water rock
sand rock gravel jasper porphyry siltstone basalt quartz clay
gravel sand conglomerate
sand rock silt silty chert quartz
gravel conglomerate clay
sand silt gravel silty clay
shale drift
gravel sand quartz clay
silty silt clay
sand mica clay
gravel chert lava jasper
sand igneous gravel porphyry silty volcanic clay
sand gravel mudstone volcanic quartz clay
sand volcanic jasper quartz
water quartz shale limestone
water soil granite
sand silt gravel mica quartz clay
sand rock gravel mudstone jasper volcanic quartz pebbles clay
gravel water stones clay
siderite siltstone
silt gravel jasper siltstone quartz
gravel sand cement clay
lignite
rock igneous gravel jasper porphyry volcanic basalt
gravel sandstone claystone
gravel water loam
rock gravel porphyry volcanic basalt
sand cement quartz sandstone carbonaceous
diorite
sand feldspar gravel mica jasper porphyry quartz clay
sand tuff coal siltstone carbonaceous
water sand gravel basalt clay
basalt rock clay
water volcanic
silty mudstone clay siltstone
basalt stones boulders
sand rock gravel mudstone jasper porphyry chert quartz quartzite
sand gravel jasper cement porphyry silty quartz
coal claystone siltstone
gravel chert sand
mud cement
coal rock
gravel bentonite clay
gravel sand conglomerate silt
rock granite
water wood clay
gravel quartz rock clay
sand rock gravel jasper silty volcanic basalt quartz chert
rock clay ironstone
shale mudstone sandstone
sand gravel mudstone porphyry volcanic
gravel soil clay
rock cement quartz sandstone clay
mud rock clay gravel
gravel claystone
mica cement quartz sandstone carbonaceous
gravel sand carbonaceous clay
sand clay siltstone
water sand granite
rock
rock silt gravel pebbles clay
quartz cement quartzite
sand rock feldspar gravel jasper porphyry volcanic quartz
sand jasper silty basalt quartz clay
water cavity limestone
sand gravel jasper volcanic quartz
sedimentary rock clay
greywacke rock calcite pebbles clay
gravel water sand granite
sand silt feldspar jasper quartz
gravel lava clay
soil clay
gravel sand stones mud
silt boulders
gravel jasper silty basalt quartz
gravel sandstone conglomerate
gravel ironstone
sand rock feldspar mica jasper conglomerate quartz clay
tuff coal
gravel basalt stones clay
gravel rock boulders
sandstone stones clay
sand conglomerate pebbles silt
sand mica carbonaceous
sand gravel jasper clay porphyry granite silty siltstone chert pebbles quartzite
sand rock gravel jasper porphyry quartz chert basalt
limestone pebbles clay
sand rock sandstone
marl
shale carbonaceous
gravel sand granite
sand gravel jasper clay chert quartz quartzite
sand feldspar gravel mica jasper quartz clay
sand gravel mudstone jasper clay porphyry volcanic rhyolite quartzite
rock feldspar tuff volcanic quartz
sand gravel conglomerate stones clay
sand rock gravel silty basalt quartz clay
basalt mica calcite
rock gravel jasper porphyry volcanic chert quartz sandstone clay
sand agglomerate conglomerate
water basalt sandstone volcanic
sand gravel basalt stones clay
rock gravel jasper porphyry chert basalt clay
sand rock silt gravel jasper chert quartz
sand gravel silty lava quartzite
sand gravel porphyry silty chert quartz
sand gravel mudstone jasper porphyry chert quartz
sand rock gravel jasper silty chert quartz
feldspar gravel calcite clay porphyry andesite siltstone basalt quartz ironstone
sand quartz greywacke conglomerate
granite
sand gravel mudstone jasper porphyry chert rhyolite
clay boulders
rock gravel shale jasper chert sandstone
gravel chert quartz
rock porphyry volcanic basalt chert
sand rock gravel jasper silty basalt quartz chert
rock mica siltstone carbonaceous clay
sand feldspar gravel basalt quartz clay
sand gravel mica jasper chert quartz clay
mud sand sandstone clay
coal sandstone siltstone
tuff soil
conglomerate claystone
sand silt gravel basalt chert
mica mudstone carbonaceous siltstone
tuff rhyolite
lava
gravel sand silty soil
water rock boulders granite
gravel mica jasper silty clay
sand chert jasper basalt quartz clay
shale tuff
water sand gravel jasper chert clay
sand gravel jasper volcanic chert quartz clay
gravel quartz
clay claystone
sand silt conglomerate volcanic clay
feldspar gravel jasper porphyry silty siltstone basalt quartz clay
gravel quartz jasper porphyry
gravel sand rhyolite clay
sand jasper basalt quartz clay
tuff sandstone
gravel boulders
water diorite
water sand gravel pebbles clay
gravel mudstone jasper silty chert quartz
water pebbles clay
sand gravel cement sandstone clay
sand jasper siltstone basalt quartz
claystone
gravel jasper clay chert quartzite
feldspar gravel jasper porphyry silty basalt quartz chert
sand jasper silty chert quartz carbonaceous clay
shale mica carbonaceous
quartz sandstone carbonaceous
sand carbonaceous cement clay
sand rock gravel jasper porphyry volcanic quartz
sand mudstone clay
sandstone
sand rock gravel mica jasper silty siltstone chert basalt clay
sand gravel jasper quartz quartzite
chalk
gravel lava quartz clay
gravel sand jasper chert
sand feldspar gravel porphyry basalt quartz chert
gravel cement
clay slate
cement rock volcanic conglomerate
sand shale cement
sand water rock
gravel basalt quartz quartzite
sand rock igneous gravel quartz
shale sandstone granite
sand rock igneous gravel silty pebbles stones quartzite
gravel sand jasper quartzite
sand sandstone shale
basalt rock volcanic
sand gravel jasper volcanic basalt quartz clay
sand laterite clay
sand rock gravel jasper porphyry chert quartz
sand gravel jasper clay porphyry silty quartz quartzite
coal mudstone sandstone
water sand pebbles silty
feldspar mica quartz sandstone carbonaceous
sand gravel jasper siltstone chert quartz pebbles
silt gravel mudstone quartz quartzite
sand gravel jasper clay quartzite
coal claystone carbonaceous siltstone
shale mica
sand feldspar gravel porphyry silty quartz chert basalt clay
sand rock gravel mudstone jasper porphyry quartz
sand gravel mudstone jasper silty quartz
gravel water pebbles
