Description,Extracted
sandstonewatersupply,water sandstone
claysand,sand clay
shale,shale
driller,diorite
conglomerate,conglomerate
shalehard,shale
sandstonefine,sandstone
driller,diorite
sandclaycoarse,sand clay
claypuggy,clay
sand,sand
shale,shale
cementhard,cement
cementhard,cement
clay,clay
shale,shale
shalecryptocrystalline,shale claystone
clayrubble,clay
claysoftpuggystonesrubble,stones clay
sandhardwatersupply,sand water
shale,shale
sandstonewatersupply,water sandstone
claysandy,sand clay
rockgreyveryhard,rock
sandstonewatersupply,water sandstone
sandstone,sandstone
soil,soil
sandstone,sandstone
sandwatersupply,sand water
shale,shale
claysandywaterbearingwatersupply,sand water clay
sandwaterbearingfinewatersupply,sand water
sand,sand
sand,sand
sandcoarse,sand
claysandy,sand clay
clay,clay
clay,clay
sandrockwatersupply,sand water rock
conglomerate,conglomerate
sandstone,sandstone
sandstone,sandstone
shale,shale
sandstone,sandstone
soilsurface,soil
coal,coal
shale,shale
shale,shale
sandstone,sandstone
coalwaterbearingwatersupply,water coal
coal,coal
shale,shale
sandstone,sandstone
basalt,basalt
clayyellowwaterbearing,water clay
clayblack,clay
sand,sand
rockhard,rock
sandgravelwatersupply,gravel water sand
clayyellow,clay
claysandy,sand clay
sandrockred,sand rock
clay,clay
gravelcoarse,gravel
sanddrift,sand drift
sand,sand
loamsandy,sand loam
pipeclay,clay
sandstonesoft,sandstone
clay,clay
sandstonewatersupply,water sandstone
sandrock,sand rock
clay,clay
gravelcoarse,gravel
sandrock,sand rock
sandrock,sand rock
clay,clay
shalewatersupply,water shale
green,
clay,clay
sandrockhardwatersupply,sand water rock
sandwatersupply,sand water
claysandwatersupply,sand water clay
claysandrock,sand rock clay
conglomerate,conglomerate
claysticky,clay
shalesandy,sand shale
clay,clay
clayred,clay
rockhard,rock
shalewatersupply,water shale
claystickysomesand,sand clay
clayred,clay
claygravel,gravel clay
shalehardsandy,sand shale
shalesandy,sand shale
sandstone,sandstone
rockrotten,rock stones
shalesticky,shale
shalehardsandy,sand shale
shalesandy,sand shale
rockgrey,rock
shale,shale
rockhard,rock
rockhard,rock
sandrockhard,sand rock
shalehardsandy,sand shale
shalehard,shale
shalesandy,sand shale
sandstonehard,sandstone
shalegrey,shale
sandstonehard,sandstone
sandrockhard,sand rock
driller,diorite
rockhard,rock
soil,soil
sandy,sand
shalehardsandy,sand shale
slatehardquartz,quartz slate
shalesandy,sand shale
clayyellowwhitewatersupply,water clay
sandstone,sandstone
shalegrey,shale
sandstonehard,sandstone
rockred,rock
shalesandy,sand shale
sandrockhard,sand rock
sandstonehard,sandstone
rockgrey,rock
sandstone,sandstone
sandstonehard,sandstone
sandstoneveryhard,sandstone
shalesandy,sand shale
shalesandy,sand shale
sandrockhard,sand rock
shalesticky,shale
sand,sand
clayredsandy,sand clay
shalehardsandy,sand shale
shale,shale
shale,shale
shalesticky,shale
shale,shale
sandstone,sandstone
shalehard,shale
shalehardsandy,sand shale
sandstone,sandstone
sandstone,sandstone
shale,shale
rockgreyhard,rock
shale,shale
driller,diorite
driller,diorite
shalewaterbearing,water shale
rock,rock
sandstone,sandstone
bouldershard,boulders
basalthard,basalt
basalthard,basalt
sandstone,sandstone
rockhard,rock
clayblack,clay
basaltveryhard,basalt
basalt,basalt
basalt,basalt
basalt,basalt
basalt,basalt
boulders,boulders
drift,drift
rock,rock
sandrock,sand rock
sandrock,sand rock
shalewatersupply,water shale
sandrockveryhard,sand rock
sandrock,sand rock
sandrock,sand rock
sandrockhard,sand rock
sandrockhard,sand rock
nominal,
sandrockveryhardwatersupply,sand water rock
sandrockhard,sand rock
sand,sand
gravel,gravel
cobblesstoneyrounded,
claysandstone,sandstone clay
clayhardsandy,sand clay
