Description,Extracted
claysandy,sand clay
clay,clay
claysilty,silty clay
verytracesclay,clay
claysandysomegravel,gravel sand clay
gravelfinemedium,gravel
tightpacked,
claydarkbrown,clay
sometracesclay,clay
clayverysticky,clay
sandsilt,sand silt
claysandysomegravel,gravel sand clay
claysandy,sand clay
clayhard,clay
clay,clay
gravelclayfine,gravel clay
clay,clay
clayverysandy,sand clay
gravelsandfine,gravel sand
clayverysticky,clay
claysticky,clay
claysandy,sand clay
claysticky,clay
topsoil,soil
claygreyshaley,shale clay
clay,clay
clayverysandy,sand clay
gravelsandmedium,gravel sand
gravelsandfine,gravel sand
gravelsandfinemedium,gravel sand
somegravel,gravel
clay,clay
gravelwatersupply,gravel water
driller,diorite
clay,clay
soilblack,soil
gravelwatersupply,gravel water
shale,shale
driller,diorite
clayalluvialnominal,alluvium clay
gravelalluvialnominal,gravel alluvium
gravellargewatersupply,gravel water
sandalluvialnominal,alluvium sand
siltnominal,silt
sandnominal,sand
clayalluvialnominalwatersupply,water clay
basaltsoft,basalt
basalt,basalt
clay,clay
basaltwatersupply,water basalt
soilsurface,soil
basaltwatersupply,water basalt
basalt,basalt
graveldirtywatersupply,gravel water
soilblack,soil
rockblack,rock
claydrygravel,gravel clay
clayred,clay
basaltrotten,basalt stones
gravellargebasaltboulders,gravel basalt boulders
graveltightdirtywatersupply,gravel water
boulderslargebasaltwatersupply,water basalt boulders
clay,clay
clay,clay
soil,soil
clay,clay
claysandy,sand clay
clay,clay
gravelwatersupply,gravel water
gravelwatersupply,gravel water
clay,clay
quartzclay,quartz clay
shalegravelwatersupply,gravel water shale
soilblack,soil
claypink,clay
clay,clay
shale,shale
clayred,clay
basaltmedium,basalt
soil,soil
bouldersclayey,clay boulders
clay,clay
mudrockwaterbearing,mud water rock
basalthard,basalt
basaltsoftwatersupply,water basalt
basaltwatersupply,water basalt
clay,clay
basaltveryhard,basalt
basalthard,basalt
basaltmedium,basalt
topsoil,soil
basaltwatersupply,water basalt
claygravel,gravel clay
bouldersriver,boulders
gravelriver,gravel
clay,clay
soilloam,soil loam
gravelwatersupply,gravel water
claybandsyellowgravel,gravel clay
clayyellowfirm,clay
claylightbrowngravelbandsstreaksgrey,gravel clay
sandcoarsesmallclaybandsgravel,gravel sand clay
clayyellowgreyclaybandsdarkgreyfirm,clay
gravelcoarse,gravel
claylightbrowngravelbandsstreaks,gravel clay
sandcoarsegravel,gravel sand
claygreysandyfinegravelbandsstreaks,gravel sand clay
claydarkgrey,clay
claygreysandy,sand clay
claysandy,sand clay
clayyellowgravelbandsv,gravel clay
claysandy,sand clay
claysandy,sand clay
conglomeratethinlayersgravel,gravel conglomerate
sandcoarse,sand
claysandythinlayersgravel,gravel sand clay
claygreysandygravelbands,gravel sand clay
sandcoarsegravel,gravel sand
claygreysandy,sand clay
bedrock,rock
sandgravelclaybands,gravel sand clay
claysandythinlayersgravel,gravel sand clay
gravelclaybands,gravel sand clay
sandgravel,gravel sand
gravel,gravel
soilblack,soil
sandcoarsegravelsandstoneconglomeratethinlayers,sand claystone gravel conglomerate sandstone
claysandy,sand clay
claygravelbands,gravel sand clay
claysandygravelbands,gravel sand clay
gravelmedium,gravel
claylightbrown,clay
claylightbrownstreaksyellow,clay
claylightbrown,clay
gravellargemedium,gravel
claylightbrownsandysiltbandsstreaks,sand silt clay
claymedium,clay
gravelmedium,gravel
siltsomegravel,gravel silt
sandstoneindurated,sandstone
claybands,sand clay
claylightbrownstreaksyellow,clay
claylightbrownstreaksyellow,clay
claylightbrown,clay
gravelveryfinesand,gravel sand
claylightbrownsandysiltsmallbands,sand silt clay
claylightbrown,clay
gravelveryfinesilt,gravel silt
claylightbrowngravelbands,gravel clay
claylightbrownstreaksgreypurplewhite,clay
gravelmedium,gravel
gravelmedium,gravel
gravelmedium,gravel
topsoil,soil
gravelveryfinesilt,gravel silt
claylightbrown,clay
gravelmediumclaybandssmall,gravel clay
gravelveryfinesilt,gravel silt
boulderslargeorhardbands,boulders
claylightbrownsandystreaksyellowgrey,sand clay
gravelveryfinesilt,gravel silt
claylightbrownstreaksyellow,clay
claylightbrowngravel,gravel clay
claylightbrown,clay
claylightbrown,clay
claylightbrowngravelbands,gravel clay
claygravel,gravel clay
claylightbrown,clay
gravelcoarsesandfine,gravel sand
claylightbrownstreaksblackyellow,clay
claylightbrownboulderslargegravel,gravel clay boulders
claystreaksblackyellow,clay
claylightbrownstreaksgrey,clay
claylightbrowngravel,gravel clay
claylightbrowngravel,gravel clay
claylightbrownstreakswhite,clay
claylightbrownstreaksgreyyellow,clay
gravelfine,gravel
gravelcompactedfine,gravel
claylightbrownstreaksgreypurple,clay
topsoildarkbrown,soil
gravel,gravel
claylightbrowngravelbands,gravel clay
claysandy,sand clay
claysandy,sand clay
sandcoarsegravel,gravel sand
clayfirm,clay
claysandysandcoarsebands,sand clay
sandcoarse,sand
clay,clay
gravelcoarsesandclaygreythinlayers,gravel sand clay
sandcoarsegravel,gravel sand
soilblack,soil
gravelfine,gravel
sandcoarse,sand
claysandy,sand clay
gravelcoarsesandlimestoneconglomerateclaythinlayers,sand claystone gravel conglomerate limestone clay
sandcoarsegravel,gravel sand
gravelfine,gravel
claygreythinlayersgravelsand,gravel sand clay
claygravelbandsstreaksgrey,gravel clay
claysandythinlayersgravelfine,gravel sand clay
claygreygravelbandsstreaksyellow,gravel clay
claysandystreaksgrey,sand clay
sandcoarsegravel,gravel sand
claysandy,sand clay
claysandy,sand clay
claygravel,gravel clay
clayyellow,clay
claysandy,sand clay
claysandywatersupply,sand water clay
clay,clay
gravel,gravel
clay,clay
claysandy,sand clay
clayfine,clay
sandwaterbearing,sand water
claysandywatersupply,sand water clay
clayhardgravel,gravel clay
sandgravelwatersupply,gravel water sand
claygravel,gravel clay
clay,clay
sandgravel,gravel sand
clayfine,clay
claygravel,gravel clay
claygravel,gravel clay
soilblack,soil
claysandywatersupply,sand water clay
clayyellow,clay
clayyellowish,clay
sandwatersupply,sand water
soilblack,soil
claygravel,gravel clay
clayyellowwatersupply,water clay
driller,diorite
soilblack,soil
gravelriverwatersupply,gravel water
clayyellow,clay
soilblack,soil
soilclay,soil clay
sandgravelwatersupply,gravel water sand
claygravel,gravel clay
claygravel,gravel clay
claygravel,gravel clay
claygravel,gravel clay
sandgravelwatersupply,gravel water sand
gravellargewatersupply,gravel water
gravelwatersupply,gravel water
sandgravelwatersupply,gravel water sand
agglomerate,agglomerate
clay,clay
gravel,gravel
clay,clay
clay,clay
sandgravelsilt,gravel sand silt
soilclay,soil clay
claygravel,gravel clay
agglomerate,agglomerate
driller,diorite
gravelsandwatersupply,gravel water sand
soilclay,soil clay
agglomerate,agglomerate
soilclay,soil clay
gravelwatersupply,gravel water
gravelwatersupply,gravel water
agglomerate,agglomerate
soilclay,soil clay
gravelwatersupply,gravel water
claystones,claystone
gravelwatersupply,gravel water
agglomerate,agglomerate
agglomerate,agglomerate
soilclay,soil clay
claystones,claystone
claystones,claystone
gravelwatersupply,gravel water
soilclay,soil clay
claystoneswatersupply,water claystone
gravelwatersupply,gravel water
claystoneswatersupply,water claystone
gravelwatersupply,gravel water
gravelwatersupply,gravel water
claystoneswatersupply,water claystone
claystones,claystone
basalt,basalt
soilred,soil
bouldersriver,boulders
basaltwatersupply,water basalt
soilblack,soil
topsoilblack,soil
clayloamyloamy,loam clay
claybrownish,clay
soilblack,soil
driller,diorite
topsoilblack,soil
claysomegravelwatersupply,gravel water clay
loamred,loam
soilblack,soil
earthblack,
loam,loam
siltsomegravel,gravel silt
shalesandy,sand shale
claystone,claystone
sandstoneredwatersupply,water sandstone
soil,soil
claysomeshaleseams,shale clay
clay,clay
shaleblack,shale
shale,shale
clay,clay
sandstone,sandstone
shalesandy,sand shale
claysomecalcite,calcite clay
gravelwatersupply,gravel water
sandgravelwatersupply,gravel water sand
gravelcoarsewatersupply,gravel water
clay,clay
soilred,soil
gravelwatersupply,gravel water
clay,clay
clay,clay
clay,clay
clay,clay
sandgravelwatersupply,gravel water sand
sandwatersupply,sand water
topsoilblack,soil
gravelwatersupply,gravel water
clay,clay
claylargegravel,gravel clay
sandgravelwatersupply,gravel water sand
gravelwatersupply,gravel water
sandwaterbearing,sand water
claygravel,gravel clay
gravelwatersupply,gravel water
gravelwatersupply,gravel water
gravelwatersupply,gravel water
clay,clay
clay,clay
gravelwatersupply,gravel water
clay,clay
topsoilblack,soil
claygravelconglomerated,gravel conglomerate clay
gravelwatersupply,gravel water
clay,clay
clay,clay
clay,clay
soilblack,soil
sandsoak,sand
sandwatersupply,sand water
clay,clay
driller,diorite
clayloam,loam clay
claygravelwatersupply,gravel water clay
shaleslatey,shale slate
claybasaltmixed,basalt clay
shalewatersupply,water shale
shaleblacksandywatersupply,sand water shale
shalegreyclay,shale clay
shale,shale
claywaterbearing,water clay
claygravel,gravel clay
clayyellow,clay
topsoil,soil
clayyellow,clay
claysandy,sand clay
claygravel,gravel clay
sanddrygravel,gravel sand
clay,clay
claysandy,sand clay
claygrey,clay
claygravel,gravel clay
claygravel,gravel clay
clay,clay
claygrey,clay
claydarkbrown,clay
claygreygravel,gravel clay
topsoil,soil
claylimestone,limestone clay
claygrey,clay
sandfinegravelwatersupply,gravel water sand
limestone,limestone
claylimestone,limestone clay
claygravel,gravel clay
claygrey,clay
soilloamy,soil loam
granitedecomposed,granite
claysand,sand clay
claygravelwaterbearing,gravel water clay
gravelwaterbearing,gravel water
claywhite,clay
sanddry,sand
driller,diorite
sandfreegravelwatersupply,gravel water sand
sandfreegravelwaterbearing,gravel water sand
claysandystones,sand stones clay
soilclay,soil clay
clayyellow,clay
clay,clay
driller,diorite
sandwaterbearing,sand water
gravelsand,gravel sand
clay,clay
sand,sand
silt,silt
gravelwatersupply,gravel water
clay,clay
claysandy,sand clay
claysilty,silty clay
clayhard,clay
sandgravel,gravel sand
claygreysticky,clay
claysilty,silty clay
claygreysticky,clay
claygrey,clay
claysandy,sand clay
mudstonebands,sand mudstone
sandfinewatersupply,sand water
clayhard,clay
topsoil,soil
claygravel,gravel clay
claysilty,silty clay
clay,clay
sandgravelfine,gravel sand
clayhard,clay
claygreyhard,clay
clay,clay
subsoilsilty,silty soil
gravelsometracesclaycoarse,gravel clay
claysandy,sand clay
sandgravelwatersupply,gravel water sand
claysandybands,sand clay
claysandy,sand clay
sandgravelbands,gravel sand
clayseams,clay
soilblack,soil
sand,sand
sandcoarsegravelbands,gravel sand
claysandy,sand clay
claysandywatersupply,sand water clay
sandgravel,gravel sand
sandcoarsesilty,silty sand
sandgravel,gravel sand
claysandy,sand clay
clayseams,clay
sandgravelwatersupply,gravel water sand
claysandy,sand clay
sandgravel,gravel sand
sandfinegravel,gravel sand
sandgravelbands,gravel sand
sandfinegravelwatersupply,gravel water sand
claysandybands,sand clay
sandgravelbands,gravel sand
sandcoarsewatersupply,sand water
claygravel,gravel clay
claysandy,sand clay
gravelfinewatersupply,gravel water
sandcoarsewaterbearinggravel,gravel water sand
claylightbrownsandygreystreaks,sand clay
gravelfinewaterbearing,gravel water
claydarkbrownsandystreaksgreythinlayersfinegravel,gravel sand clay
gravelwaterbearing,gravel water
claylightbrownsandywaterbearing,sand water clay
claylightbrownsandy,sand clay
sandcoarsegravelwaterbearing,gravel water sand
claysandysmallgravelbands,gravel sand clay
claydarkbrownsandygreystreaks,sand clay
claybandsgreysandygravel,gravel sand clay
claylightbrownwaterbearingstreaksgrey,water clay
claylightbrownsandystreaksdarkbrown,sand clay
sandwaterbearingcoarse,sand water
gravelgranulesandfinewaterbearing,gravel water sand
soilblack,soil
gravelmediumwaterbearing,gravel water
gravelcreekwatersupply,gravel water
topsoilclay,soil clay
loam,loam
clay,clay
gravelwatersupply,gravel water
rockhard,rock
shale,shale
claysmallgravel,gravel clay
gravelsmallsand,gravel sand
watersupply,water
claydry,clay
clayredmoist,siderite clay
soilblack,soil
igneousrockfine,rock igneous
gravel,gravel
mudstonegrey,mudstone
claymoist,clay
soilsandy,sand soil
claysandy,sand clay
sandwaterbearing,sand water
claybands,sand clay
sandsomegravelwaterbearing,gravel water sand
sandgravelwaterbearing,gravel water sand
claysandy,sand clay
claysandywaterbearing,sand water clay
topsoil,soil
claysilty,silty clay
sandgravelwaterbearing,gravel water sand
claysiltygravel,gravel silty clay
sandgravelseams,gravel sand
claysandysilty,silty sand clay
claysilty,silty clay
sandgravelwaterbearingbands,gravel water sand
claysandy,sand clay
claysilty,silty clay
clay,clay
sandgravelwatersupply,gravel water sand
clay,clay
clay,clay
veryclayey,clay
sandfine,sand
claydarkgrey,clay
topsoil,soil
sandgravelwatersupply,gravel water sand
clay,clay
sandgravelwatersupply,gravel water sand
clay,clay
claygrey,clay
claygravel,gravel clay
sandfine,sand
sandgravelwatersupply,gravel water sand
sandgravelwatersupply,gravel water sand
claygrey,clay
claygrey,clay
clay,clay
sandgravelwatersupply,gravel water sand
clay,clay
claysandywatersupply,sand water clay
clay,clay
sandgravelwatersupply,gravel water sand
sandgravelwatersupply,gravel water sand
claygravel,gravel clay
topsoil,soil
claygravel,gravel clay
clay,clay
claydarkgrey,clay
clay,clay
clayred,clay
sandwatersupply,sand water
soilwet,soil
sandclay,sand clay
claygravelwatersupply,gravel water clay
loamblack,loam
clayyellowsandy,sand clay
claygravel,gravel clay
sandyellowwatersupply,sand water
clayyellowsandwatersupply,sand water clay
topsoil,soil
clayyellowsandygravelwatersupply,water sand clay gravel
topsoil,soil
clayyellowsandwatersupply,sand water clay
clay,clay
clayred,clay
sandgravel,gravel sand
claydensesolid,clay
claysandy,sand clay
claysticky,clay
gravelsomeclaywatersupply,gravel water clay
soilsurface,soil
sanddirty,sand
clay,clay
claysomefinesand,sand clay
clayredwatersupply,water clay
claysomegravel,gravel clay
claygravel,gravel clay
clayhard,clay
sandveryfinewatersupply,sand water
limestone,limestone
gravelridge,gravel
clay,clay
sandfine,sand
sandveryfine,sand
claysticky,clay
claydensehard,clay
clayslipperyback,clay
claysandy,sand clay
loam,loam
limestone,limestone
gravelwatersupply,gravel water
claygravel,gravel clay
clayred,clay
clay,clay
sand,sand
clay,clay
soil,soil
shalesoftformationwatersupply,water shale
soilblack,soil
shalewatersupply,water shale
soilredclay,soil clay
sandsoak,sand
clay,clay
clay,clay
sandsoak,sand
clay,clay
soilblack,soil
sandsoak,sand
clay,clay
soilred,soil
basaltdecomposedwatersupply,water basalt
claysandy,sand clay
sand,sand
topsoil,soil
claysolid,soil clay
claysand,sand clay
claysolidpebblespebbly,pebbles clay
claygrey,clay
claypebblespebbly,pebbles clay
claysandwatersupply,sand water clay
claysandyrusty,sand clay
claywhite,clay
claywaterbearingsand,sand water clay
claygreysandyblackstreaksbrownstreaks,sand clay
clay,clay
clay,clay
claygreysandy,sand clay
soilclay,soil clay
shalewatersupply,water shale
basalt,basalt
driller,diorite
clayreddish,clay
clayred,clay
sanddry,sand
clayyellowgrey,clay
sandgravelwatersupply,gravel water sand
clayyellow,clay
clayyellowsandy,sand clay
claydarkbrown,clay
claydarkbrownwhite,clay
gravelwatersupply,gravel water
clayyellowgravel,gravel clay
clayyellowwhite,clay
clayloamy,loam clay
claygrey,clay
claygrey,clay
clayyellow,clay
soillightbrown,soil
claysandy,sand clay
shale,shale
shale,shale
sandgravel,gravel sand
shale,shale
sandstonegreyhard,sandstone
clay,clay
shale,shale
coal,coal
coalsoft,coal
shale,shale
coal,coal
shalebroken,shale
basalthard,basalt
coalwatersupply,water coal
sandstone,sandstone
sandstone,sandstone
gravelclay,gravel clay
clayhardsticky,clay
claysticky,clay
gravelwaterbearing,gravel water
claysandy,sand clay
claysandy,sand clay
claysandy,sand clay
clayhard,clay
claysoftsoak,clay
claysandy,sand clay
sandstone,sandstone
rockhard,rock
sandgravelwatersupply,gravel water sand
clayblack,clay
clay,clay
clayhard,clay
claysomelimestone,limestone clay
claysomesand,sand clay
clayverysticky,clay
claysandy,sand clay
sandsomeclay,sand clay
sandfine,sand
clay,clay
clay,clay
clay,clay
sandfinepure,sand
clay,clay
sandclay,sand clay
claysticky,clay
clay,clay
sandveryfine,sand
topsoil,soil
clayhard,clay
sandclay,sand clay
rockgreymetamorphic,rock
sandmediumgravel,gravel sand
claylargegravelwaterbearing,gravel water clay
claysandy,sand clay
sandlargegravel,gravel sand
gravelcemented,gravel cement
gravelredclay,gravel clay
claysandy,sand clay
rockfracturedmetamorphicwatersupply,water rock
claylargegravel,gravel clay
sandlargegravelwaterbearing,gravel water sand
sandgravelwatersupply,gravel water sand
gravel,gravel
clay,clay
clay,clay
clay,clay
sandstoneyellow,sandstone
sandstonewhite,sandstone
shale,shale
sandstoneyellow,sandstone
sandstoneyellow,sandstone
sandstonewatersupply,water sandstone
claysandy,sand clay
shalewatersupply,water shale
shalehard,shale
topsoil,soil
soilblack,soil
clay,clay
gravelsandwatersupply,gravel water sand
gravelclay,gravel clay
clayyellow,clay
gravel,gravel
gravelsand,gravel sand
gravelsandwatersupply,gravel water sand
clay,clay
graveltightpacked,gravel
claygravel,gravel clay
claygravel,gravel clay
claysomegravel,gravel clay
sandstone,sandstone
claylightbrown,clay
claytight,clay
clayredsilty,silty clay
soil,soil
sandstone,sandstone
basaltsolid,basalt soil
sandstonedecomposed,sandstone
shale,shale
sandstone,sandstone
basalthoneycombwatersupply,water basalt
claysandy,sand clay
clayred,clay
sandgravelwatersupply,gravel water sand
topsoilred,soil
claystoney,claystone
sandfinegravelwatersupply,gravel water sand
gravel,gravel
claysandy,sand clay
clay,clay
shalesomecavitywatersupply,water cavity shale
topsoil,soil
rockstiff,rock
bouldersshale,shale boulders
shale,shale
clay,clay
shalesandy,sand shale
shalegrey,shale
shalefracturedwatersupply,water shale
shalegrey,shale
shalegrey,shale
soil,soil
shaleyellow,shale
claymarl,marl clay
alluvium,alluvium
gravelsomewatersupply,gravel water
gravelwatersupply,gravel water
clayalluvial,alluvium clay
sandstonegrey,sandstone
sandstone,sandstone
pipeclay,clay
shalegrey,shale
clayreddishsoil,soil clay
shalegrey,shale
sandstonegreywaterbearing,water sandstone
coal,coal
clay,clay
sandfinewatersupply,sand water
gravelwatersupply,gravel water
clay,clay
clay,clay
gravelwatersupply,gravel water
gravelclaybound,gravel clay
clay,clay
soilblack,soil
claysomegravel,gravel clay
claysandy,sand clay
clayhard,clay
claysomegravel,gravel clay
claybands,sand clay
sand,sand
clay,clay
claysandy,sand clay
clay,clay
clay,clay
claysoft,clay
sand,sand
sand,sand
coalseams,coal
claygrey,clay
claysomegravel,gravel clay
topsoilblack,soil
claybands,sand clay
claysandy,sand clay
sand,sand
clay,clay
claysandy,sand clay
claymulticoloured,clay
sand,sand
claysandy,sand clay
clayhardsandy,sand clay
clay,clay
clay,clay
sand,sand
claysomegravel,gravel clay
topsoilredsandy,sand soil
clayyellowsandy,sand clay
gravelsandwatersupply,gravel water sand
clay,clay
claysandy,sand clay
sandgravelfinewatersupply,gravel water sand
claywhite,clay
clayblack,clay
gravelsomelargesomesmall,gravel
claysandyvariegatedwatersupply,sand water clay
sandsomesmallgravelcoarsewatersupply,gravel water sand
loam,loam
clay,clay
sandsomesmallgravelcoarsewatersupply,gravel water sand
claysandywatersupply,sand water clay
sandcoarse,sand
claysandy,sand clay
sandwatersupply,sand water
clay,clay
gravelwatersupply,gravel water
sandcoarsewatersupply,sand water
soil,soil
clay,clay
sandwatersupply,sand water
clay,clay
driller,diorite
sandwatersupply,sand water
topsoil,soil
claygravel,gravel clay
gravelwatersupply,gravel water
gravelsandfine,gravel sand
clayblack,clay
clay,clay
clay,clay
clayblack,clay
clay,clay
gravelwatersupply,gravel water
sand,sand
clay,clay
claygravel,gravel clay
gravel,gravel
claysandy,sand clay
gravelclaybands,gravel sand clay
clay,clay
topsoilblack,soil
clay,clay
gravelclaybands,gravel sand clay
claysand,sand clay
gravelclay,gravel clay
clay,clay
gravelclaybands,gravel sand clay
gravelsmall,gravel
sandclaybands,sand clay
clay,clay
gravelsand,gravel sand
clay,clay
sanddirtyveryfinewatersupply,sand water
sanddriftmediumwatersupply,sand water drift
clay,clay
gravelfreecoarsewatersupply,gravel water
claypuggy,clay
claysandy,sand clay
soil,soil
gravelfreecoarsewatersupply,gravel water
claycreampuggy,clay
gravelclay,gravel clay
claywhite,clay
gravelcompactedcoarsewatersupply,gravel water
topsoil,soil
sandgravel,gravel sand
sandgravel,gravel sand
sandgravel,gravel sand
clay,clay
clay,clay
clay,clay
clay,clay
gravelcoarse,gravel
clay,clay
clay,clay
gravel,gravel
gravel,gravel
claysandy,sand clay
sandgravel,gravel sand
sandgravel,gravel sand
clay,clay
clay,clay
claysandy,sand clay
claydarkbrown,clay
clayred,clay
earth,
sandwhitesoft,sand
gravelwatersupply,gravel water
gravelsomesmallclaywatersupply,gravel water clay
clay,clay
sandgravelwatersupply,gravel water sand
sandstonesoftcoarse,sandstone
gravelclay,gravel clay
gravelwatersupply,gravel water
clay,clay
claythinlayers,clay
claysandy,sand clay
gravelwatersupply,gravel water
clay,clay
gravelwatersupply,gravel water
sand,sand
clay,clay
gravelcoarsewatersupply,gravel water
clay,clay
gravelwatersupply,gravel water
clay,clay
gravelsandwatersupply,gravel water sand
shale,shale
rocksolidcryptocrystallineseams,sedimentary rock
soilalluvial,alluvium soil
gravelwaterbearing,gravel water
claygreygravelwaterbearing,gravel water clay
soil,soil
topsoil,soil
clayyellow,clay
gravelwatersupply,gravel water
clay,clay
loamriver,loam
loamriver,loam
clay,clay
shalewatersupply,water shale
sandconglomeratewatersupply,sand water conglomerate
graveldirty,gravel
conglomeratewaterbearing,water conglomerate
sandfinewaterbearing,sand water
claysandy,sand clay
claysoftsandy,sand clay
sandgravel,gravel sand
sandfinewaterbearing,sand water
graveldirtywaterbearing,gravel water
clayhard,clay
claysandy,sand clay
clayhardgravel,gravel clay
graveldirty,gravel
clayhardgravel,gravel clay
claysandy,sand clay
conglomerate,conglomerate
clayhardsomegravel,gravel clay
graveldirty,gravel
clayhardgravel,gravel clay
claysoftsandy,sand clay
graveldirtyconglomerate,gravel conglomerate
sandfinewaterbearing,sand water
topsoilsandy,sand soil
clay,clay
clayhard,clay
claysandy,sand clay
gravelsandywatersupply,gravel water sand
driller,diorite
claygravelwaterbearing,gravel water clay
claygravel,gravel clay
claygravel,gravel clay
sandgravelwaterbearing,gravel water sand
clay,clay
claygravel,gravel clay
claysilty,silty clay
claydarkgrey,clay
topsoil,soil
sandgravelwaterbearing,gravel water sand
sandgravel,gravel sand
rockveryhardwatersupply,water rock
rockhard,rock
clayboulder,boulders clay
topsoil,soil
clayyellowgravel,gravel clay
claysandy,sand clay
shalegreywatersupply,water shale
claysandy,sand clay
clay,clay
sandstonecoarse,sandstone
shalecoalwatersupply,water coal shale
claylight,clay
sandstone,sandstone
shalecoalwatersupply,water coal shale
sandstoneyellow,sandstone
sandstonegrey,sandstone
topsoil,soil
clayreddishgravel,gravel clay
shalegreytough,shale
sandsiltywatersupply,silty water sand
clay,clay
clay,clay
topsoil,soil
gravelwatersupply,gravel water
clay,clay
clay,clay
sandsiltywatersupply,silty water sand
topsoil,soil
gravelwatersupply,gravel water
gravel,gravel
loamclay,loam clay
claysandywatersupply,sand water clay
shale,shale
sand,sand
shale,shale
gravelsomesand,gravel sand
clay,clay
claydense,clay
gravelconglomeratedwatersupply,gravel water conglomerate
clay,clay
sandstonehard,sandstone
gravelhardbandsconglomeratedsomelimestone,gravel conglomerate limestone
rubblegravelconglomeratedsomeclay,gravel boulders conglomerate clay
gravel,gravel
gravelconglomeratedwatersupply,gravel water conglomerate
claygravel,gravel clay
claygravel,gravel clay
gravelsomesand,gravel sand
gravel,gravel
limestonehardcrust,limestone
topsoilblack,soil
claysomegravel,gravel clay
sandmediumcoarsesomegravel,gravel sand
sandfinewatersupply,sand water
clayfloatersandsomegravel,gravel sand clay
claysandysomegravel,gravel sand clay
claydense,clay
gravellargeclay,gravel clay
gravelridge,gravel
gravelwatersupply,gravel water
soil,soil
clay,clay
claysandywatersupply,sand water clay
clay,clay
claywatersupply,water clay
sandgravelwatersupply,gravel water sand
sandgravel,gravel sand
clayyellow,clay
claylightgrey,clay
topsoil,soil
sandcoarse,sand
claygrey,clay
claygravel,gravel clay
clay,clay
claygravel,gravel clay
claygravel,gravel clay
claygravel,gravel clay
soilclay,soil clay
gravelcemented,gravel cement
agglomerate,agglomerate
claygravel,gravel clay
gravelcemented,gravel cement
claygravel,gravel clay
claygravel,gravel clay
gravelwaterbearingsand,gravel water sand
gravelcemented,gravel cement
clay,clay
gravelwaterbearing,gravel water
gravelwaterbearing,gravel water
gravelwaterbearing,gravel water
gravelwaterbearingsand,gravel water sand
gravelwaterbearing,gravel water
clayyellowgravel,gravel clay
claysilty,silty clay
clayyellow,clay
clayyellowgravel,gravel clay
gravelwatersupply,gravel water
clayyellowgravel,gravel clay
clay,clay
clayyellowgravel,gravel clay
sandfinewatersupply,sand water
sandcoarsewatersupply,sand water
claygravel,gravel clay
clayblacksandy,sand clay
gravelwatersupply,gravel water
claygreensandy,sand clay
clayblack,clay
sandcoarsewatersupply,sand water
claysandy,sand clay
sandfine,sand
claygravel,gravel clay
gravelwatersupply,gravel water
claysandy,sand clay
clayyellowgravel,gravel clay
clayyellowsandy,sand clay
clayyellowsandy,sand clay
claysandy,sand clay
claysandy,sand clay
sandfinewatersupply,sand water
gravelwatersupply,gravel water
clayyellowgreygravel,gravel clay
soil,soil
claygreyyellow,clay
claygrey,clay
gravelclaywatersupply,gravel water clay
clayyellowgravel,gravel clay
clayyellowgravel,gravel clay
gravelbandswatersupply,gravel water
clayyellow,clay
clayyellowgravel,gravel clay
gravelbandswatersupply,gravel water
clayyellowgrey,clay
clayblack,clay
claysilty,silty clay
clayyellowshaley,shale clay
clayyellowsandy,sand clay
claypinkgravel,gravel clay
claylightbrowndarkbrown,clay
clayyellowsandy,sand clay
sandgravelfinewatersupply,gravel water sand
claygrey,clay
clayyellowgrey,clay
clayyellowgrey,clay
clayyellow,clay
clayyellowgravel,gravel clay
soilblack,soil
clayorangeloamy,loam clay
clayyellowgrey,clay
clayyellowgravel,gravel clay
clay,clay
clayyellowgravelwatersupply,gravel water clay
clayyellowgrey,clay
clayyellowgreygravel,gravel clay
clayyellowgravel,gravel clay
claygrey,clay
claygrey,clay
shalesome,shale
sandfinewatersupply,sand water
claysilty,silty clay
sandgravelwatersupply,gravel water sand
clayyellowgravel,gravel clay
sandyellowsiltywatersupply,silty water sand
clayyellowsilty,silty clay
sandgravelwatersupply,gravel water sand
claygreysilty,silty clay
claygrey,clay
sandclayeygravel,gravel sand clay
claygravel,gravel clay
gravelsandfine,gravel sand
gravelclayey,gravel clay
claygravel,gravel clay
sandgravel,gravel sand
gravelclayey,gravel clay
sandclayeygravelveryfine,gravel sand clay
sandgravel,gravel sand
claysandy,sand clay
sandgravel,gravel sand
clay,clay
sandclayey,sand clay
sandgravel,gravel sand
claysandy,sand clay
soilblack,soil
sandgravel,gravel sand
claysandysoft,sand clay
sandgravel,gravel sand
claygrey,clay
clay,clay
gravelclayey,gravel clay
clay,clay
claysandy,sand clay
clay,clay
claytough,clay
claysandy,sand clay
gravelfine,gravel
clayorange,clay
claysandy,sand clay
claygravel,gravel clay
claysandy,sand clay
clay,clay
gravelveryclayey,gravel clay
clay,clay
soilblack,soil
gravelclayey,gravel clay
claygravel,gravel clay
graveldirtyclayeyfine,gravel clay
gravelclean,gravel
claygravel,gravel clay
claysandygravel,gravel sand clay
sandclean,sand
claygravel,gravel clay
claysandy,sand clay
graveldirtyclayey,gravel clay
sanddirtyfinecoarse,sand
clay,clay
graveldirtyclayeycoarse,gravel clay
clay,clay
sandsiltfine,sand silt
claykhakisomegravel,gravel clay
claykhakisticky,clay
gravelsand,gravel sand
gravelfine,gravel
gravelsandfinemedium,gravel sand
gravelsandfine,gravel sand
