Exemplar,Matches
Coarse sand & gravel,"Alluvial gravels | Clayey gravel | Coarse sand & gravel | Gravel | Gravel & stone - blue | Gravel (wb) | Gravel - 30% 1/10mm-.5mm, 20% .5-2mm, 50% 2-3.5mm, clay 6% medium brown | Gravel - 30% 2-8mm, 20% 8-20mm, angular and subrounded, sand 40% fine to 2mm, clay 10% dark brown, some white. | Gravel - coarse 75% grey brown mostly jasper chert, quartz subangular, well rounded. gravel fine-medium 10% as above. sand yellow fine-coarse, silty and clayey 15% mostly quartz angular, subrounded. | Gravel clayey | Gravel dirty | Gravel fine | Gravel fine-medium sand | Gravel nominal | Gravel stones | Gravel waterworn | Gravel yellow medium small small | Gravel, brown grey, silty clayey, <5mm | Gravel; 20% 2-4mm, 30% 4-8mm, 20% 8-15mm, 30% 1/2-2mm, light brown | Gravel; 80% grey, 2-15mm, subrounded good sorting, mineralogy as above.  sand 20%, fine to coarse | Gravel; as above, but clay 10% | Gravel; as above, but clay 20% | Gravel; as above, some brown clay cuttings | Gravel; coarse 35% jasper porphyry indurated mudstone (up to 25mm or 15mm) well rounded subangular.  gravel medium 25% as above.  gravel fine 40%, as above. | Gravel; coarse to very coarse, pebbles both subangular, rounded, including: jasper chert quartz etc | Gravel; fine & medium, brown, quartzite, lavas, etc | Gravel; gravel (60% 1.25-2.5mm, 30% 2.5-6mm, 10% 6-10mm) and clay 5% (grey, trace of brown carbonised wood), overall colour grey | Ridge gravel / broken basalt | Small washed gravel and coarse sand | Soft sandstone & gravel | Washed river  gravel"
Sand grey water supply,Gravel sand fine water supply | Sand claybound water supply | Sand clean coarse water supply | Sand coarse gravel water supply | Sand coarse water supply | Sand fine gravel water supply | Sand fine water supply | Sand granitic water supply | Sand gravel water supply | Sand grey water supply | Sand small gravel water supply | Sand tight gravel water supply | Sand veined clay water supply | Sand water supply | Shale sandy some sand water supply
Clay gravel,"Clay & gravel | Clay & gravel; clay, 90% dark brown, and gravel, 10% up to 12mm, some concretions as for 3-4m | Clay compacted gravel | Clay gravel | Clay gravel clay | Clay gravel ironstone | Clay light brown silty some gravel | Clay light gravel gravel | Clay orangey brown, silty, fine to coarse sandy, angular, clear and smoky quartz and feldspar.  fine gravel less than 1% present.  slightly micaceous | Clay red gravel | Clay some gravel | Clay with gravel; clay 60% (light brown-grey, very sticky), and gravel 40% (with fine 20%, medium 10%, and coarse 10%, sub-angular to sub-rounded, jasper, basalt, porphyry, clear and smoky quartz) | Clay, light brown, with gravel layers upt o 30cm thick. | Clay; 40%, red brown.  gravel 40%, red brown, 2-15mm, subrounded, quartz, jasper, chalcedony, porphyry, chert & rock frgments.  sand 20%, red brown, fine to coasre, mostly jasper & quartz sand. | Clay; choc brown, containing <2% gravel (2-20mm). | Clay; clay, 95%, dark brown, and a little fine gravel 5% | Clay; light brown, trace of fine gravel | Gravel & clay | Gravel clay | Gravel clay fine | Gravel some clay coarse | Gravel; 90%, up to 8mm, various rock fragments.  clay 10%, purple & brown | Gravel; fine, brown, quartz, jasper, basalt, etc, & brown clay 30% | Gravel; grey, medium, rounded to subrounded, mainly quartz & jasper 50%, grey sandy clay 50% | Sandy clay and gravel | Sandy clay; brown, & some gravel grains | Sandy, silty clay; light brown, dry, low plasticity, stiff, minor gravels 10-20mm | Silty clay, brown, some gravel"
"Clay; 60% light brown, sand 40% medium","Clay pink sand | Clay, brown, stiff, occassional trace sand | Clay, tan brown, silty sand interbeds | Clay; 60% light brown, sand 40% medium | Clay; 90%, light brown.  sand 10%, light brown, fine to medium | Sand & clay strings | Sand & clay; 50%, light brown (fine 30%, medium 40% & coarse 30%), mostly chert & jasper. clay 50%, orange brown. | Sand & clay; sand 95% (fine to 2mm), and clay 5% (brown) | Sand yellow clay | Sand/clay brown | Very fine sand clay bound"
Gravel free coarse,Gravel free coarse
Sand clayey,Sand clayey | Sand clayey fine | Sand clayey fine-medium | Sand clayey gravel | Sand very clayey medium-coarse
Sandy clay,"Clay grey fine sandy silt | Clay grey sandy | Clay hard sandy | Clay light brown light grey sandy fine | Clay light brown sandy | Clay light greenish yellow grey sandy | Clay red sandy | Clay sandy | Clay sandy sticky | Clay sandy thin layers sand | Clay soft sandy | Clay white sandy | Clay yellow sandy | Clay; brown, extremely sandy, very fine | Clay; grey, sandy (medium) | Clay; light brown & light grey, sandy (fine) | Clay; light brown, sandy (very fine) | Sandy clay | Sandy clay, black | Sandy clay, grey | Sandy clay; brown - well graded sand & gravel. angular & rounded to 1/4.  - cohesive (slightly), sample appears to be contaminated with bentonite (blobs of strongly cracking greenish clay) | Sandy clay; light brown, strongly cohesive, rare silica clasts, . light brown sandy clay, cohesive, containing silicate jasper & lithic clasts from fine sand to mediumg ravel, poorly graded,  | Sandy wood particle | Shale grey sticky sandy | Siltstone (weathered), dark grey, with some sandy clay, brown"
No data,No data
"Mudstone - very soft weathered to clay, light grey","Grey mudstones | Mudstone - very soft weathered to clay, light grey"
Fine to coarse brown sand,Fine to coarse brown sand
Sandstone white fine,"Broken sandstone (wb) | Clay hard sandstone | Fine grained quartz/sandstone | Sandstone | Sandstone green | Sandstone grey | Sandstone grey hard | Sandstone nominal | Sandstone soft | Sandstone white fine | Sandstone yellow | Sandstone, grey, medium strength | Sandstone, soft | Sandstone/siltstone/mudstone | Sandstone; light reddish-grey, fine grained, pebbly oxidised | Shale & sandstone | Shale grey sandstone hard bands | White sandstone"
Driller,Driller
Gravel claybound,Boulders claybound | Claybound gravel | Gravel claybound | Gravel claybound basalt stones large | Gravel claybound fine | Sand claybound gravel | Tight clayed & claybound gravel & rocks
Gravel water bearing coarse,"Gravel cemented some small water bearing bands | Gravel water bearing | Gravel water bearing coarse | Rock water bearing | Rock, fractured, brown, water bearing | Sandstone water bearing | Shale water bearing | Shale weathered water bearing | Shale, water bearing | Shale/water bearing | Water bearing"
"Sand; light brown, very silty, fine to coarse","Formation very hard sedimentary | Grey very clayey silty sand | Sand white very fine fine-medium | Sand, brown, very fine | Sand; brown, silty & fine to coarse gravel 20% | Sand; light brown, very silty, fine to coarse | Very fine silty sand"
"Clay; 70%, light brown. sand 25%, red brown, fine to coarse, mostly quartz & jasper. gravel 5%, brown, 2-5mm, subangular, chert, jasper, quartz & rock fragments.","Clay & sand & gravel; clay 60% (brown), and sand & gravel 40% (up to 6mm) | Clay; 40%, orange brown with white streaks.  sand 30%, orangey brown (30% coasre, 40% medium & 30% fine), mostly quartz & jasper.  gravel 30%, blue brown, 2-20mm, subangular to subrounded, porphyry, chert, quartz, jasper & rock fragments. | Clay; 50% brown. sand 30%, brown fine to coarse, subangular gravel 20%, brown, 2-20mm, subrounded mineralogy as above. | Clay; 70% brown, sand & gravel 30% most 1 1/2-3mm, max 10mm | Clay; 70%, light brown. sand 25%, red brown, fine to coarse, mostly quartz & jasper. gravel 5%, brown, 2-5mm, subangular, chert, jasper, quartz & rock fragments. | Fine sand & some gravel with layer of clay in mobile | Gravel & sand & clay; gravel 40% (light brown, 2-20mm, sub-rounded, fair sorting, mineralogy as above) and sand 40% (brown, fine to coarse) and clay 20% (light brown) | Gravel and sand (med. clay) | Gravel m/sand some clay l/stone good | Gravel, sandy & clay & fine sand | Gravel; as above, except gap graded some clay fraction present but fine & medium sand largely abasent - coarse sand, fine & coarse gravel present. . some green jasper clasts | Sand & gravel & clay | Sand and gravel with some clay bands | Sand gravel some clay bands | Sand gravel water supply stones some clay bands | Sand gravel, some clay | Sand; light grey, silty, & light grey sandy clay, several medium gravel grains"
Alluvium nominal,Alluvium | Alluvium nominal | Nominal
Topsoil,"Black topsoil | Topfill | Topsoil | Topsoil black | Topsoil granite | Topsoil sandy | Topsoil silty | Topsoil, brown | Topsoil, organic, black, soft"
Soil,"Black soil | Soil | Soil alluvial | Soil black | Soil black nominal | Soil black sandy | Soil red | Soil sandy | Soil, black | Top soil"
Basalt hard,"Basalt | Basalt - water  bearing | Basalt broken | Basalt grey hard | Basalt hard | Basalt soft | Basalt very hard | Basalt weathered | Basalt, blue | Basalt, moist, dark, calcite white | Basalt/blue | Blue basalt | Coarse sand (wb) | Grey basalt | Grey basalt (occasional fault line) | Soft basalt"
Brown and grey clay with some limestone,Brown and grey clay with limestone | Brown and grey clay with some limestone | Clay green grey silty limestone | Clay some limestone
Sandstone bands water supply,Sandstone bands water supply | Sandstone grey hard water supply | Sandstone grey water supply | Sandstone water bearing water supply | Sandstone water supply | Sandstone white water supply | Sandstone yellow soft water supply | Shale black bands coal water supply | Shale black coal bands water supply
"Gravel; 90% (fine 30%, medium 40% & coarse 20%), mainly jasper & smokey quartz, with minor clear quartz, jasper & weathered rock fragments.  clay, light brown, silty & slightly micaceous, fine to medium sandy.","Clay; 70%, brown to dark brown, silty, fine to coasre sandy & fine to carse gravelly.  gravel 30% (fine 20%, medium to coarse 10%), angular to subangular, basalt, jasper, chert, porphyry, quartzite, trachyte, weathered rock fragments. | Gravel; 80% (fine 30%, medium 30% & coarse 20%), as above (minus weathered rock fragments).  clay 20%, as above. | Gravel; 80%, slightly clayey (fine 10%, medium 40% & coarse 30%), as above (+ weathered rock fragments).  clay 20%, orangey brown & brownish red, sticky, silty & fine sandy. | Gravel; 90% (fine 30%, medium 40% & coarse 20%), mainly jasper & smokey quartz, with minor clear quartz, jasper & weathered rock fragments.  clay, light brown, silty & slightly micaceous, fine to medium sandy. | Gritstone; orangey to brownish orangey, subangular to subrounded grains, jasper, smokey quartz, chert, chalcedony & mica flakes. | Quartz white"
Clay gravel water bearing,Clay gravel water bearing | Clay sandy water bearing streaks | Clay yellow water bearing | Gravel cemented water bearing | Gravel some clay bands water bearing | Water bearing fine medium gravel | Water bearing gravel | Water bearing river gravel
Silty clay,"Brown silty clay | Clay; light brown and pale grey, silty, some gravel, fine | Clay; light brown trace of light grey, silty | Clay; light brown, silty | Silty clay | Silty clay - brown | Silty clay, brown | Sticky, silty, graverly brown clay"
"Clay, orange","Clay, orange | Clay; orange-brown, fine to coarse very sandy and fine to coarse gravelly (angular to sub-rounded, jasper, basalt smoky quartz and siltstone) | Light orange clay | Orange and brown clay"
Coarse gravel,Coarse gravel
Siltstone,"Mudstone/siltstone/sandstone, extremely weathered, brown, with some orange grey mottlings | Siltstone | Siltstone (coaly) | Siltstone, fresh, dark grey | Volcanics, minor carbonaceous siltstone"
Clay bands reddish grey gravel clay reddish grey yellow hard sandy,"Clay bands reddish grey gravel clay reddish grey yellow hard sandy | Clay gravel bands | Clay grey sandy gravel | Clay sandy gravel | Clay white some silty, sandy bands | Gravel; fine & medium, brown, & light brown sandy clay 5-10%"
Silty clay brown with white flakes,Silty clay brown with white flakes
Silt,"Silt | Silt clayey | Silt red | Silt/sand, dark tan | Slate wet broken"
Conglomerate,"Conglomerate | Conglomerate, grey granule | Conglomerate; core sample 116.43m - 119.48m; light green matrix, badly weathered, soft interval cored, recovery 1.52m, core logged by i. krumins"
Basalt decomposed,Basalt decomposed | Decomposed basalt
Gravel dry,"Clay; dark red brown, dry to slightly moist, loose, minor fine to medium gravel. fill to about 3m. 3m - dry. 5m - dry, dense. 6m - increase in gravel content from 5.5m down, slightly moist to dry.  hc odour from 5.5m down, getting stronger. 7.5m - sli | Dolomite, hard, dry | Dry gravel | Dry gravel & boulders | Gravel dry | Gravel large dry clay | Gravel, sandy, very dense, dry, grey brown | Wash creek"
-,-
Gravel nominal water supply,Clay gravel water supply | Clay sandy fine gravel water supply | Clay some gravel water supply | Gravel (water) | Gravel conglomerate water supply | Gravel dirty water supply | Gravel large water supply | Gravel nominal water supply | Gravel river water supply | Gravel sandy water supply | Sand gravel water supply
Shale coal,"Bedrock, interbedded formations with coal layers | Brown caly | Coal | Coal/claystone | Shale coal"
Basalt/water bearing,"Basalt, broken, water bearing | Basalt, water bearing | Basalt/water bearing | Bedrock, diorite; yellowsh brown, 12-14m fresh bedrock"
"Basalt, even drilling, dark","Basalt, even drilling, dark"
Rock hard clay water supply,Clay dark grey sandy water supply | Clay sandy water supply | Clay water supply | Rock decomposed water supply | Rock hard clay water supply | Rock hard water supply | Rock orange hard water supply | Rock water supply
Loam,Clay multicoloured loamy | Loam | Loam sandy | Soil loam
Soil surface,Missing | Soil surface | Tuff fine
W.b. basalt,Basalt w.b | W.b. basalt
Limestone,Limestone | Limestone band? | Limestone decomposed | Limestone very hard
Rock,"Clay; greyish with rock fragments, mainly pink siltstone? grey siltstone? (probably bedrock) | Coarse gravel rocks and clay | Red & brown clay with broken rock | Rock | Rock decomposed boulder | Rock flinty | Rock grey | Rock grey hard | Rock hard | Rock white quartzite | Sand rock unknown"
Granite,Granite | Granite decomposed | Granite rock | Granite small weathered fractured | Granite soft | Granite w.b. | Granite weathered | Soft granite | Weatherite granite
